114,225
269,55
170,33
12,241
114,241
241,114
225,241
93,220
241,225
270,242
244,275
167,242
167,270
25,175
43,149
256,160
207,8
9,94
93,214
8,53
174,18
177,136
167,156
167,90
167,174
55,167
242,270
270,167
162,165
169,165
61,165
165,213
165,0
165,187
12,179
178,82
37,161
93,108
93,43
163,103
32,206
53,241
12,101
12,85
84,85
241,141
167,146
146,279
269,167
165,109
48,165
165,272
82,42
161,37
43,218
43,241
51,206
25,71
250,64
250,71
146,167
156,90
12,84
225,114
155,279
241,12
167,12
269,101
55,101
12,251
226,3
82,8
82,294
42,82
94,9
9,44
149,146
43,93
146,56
101,12
53,41
12,53
241,218
155,226
146,58
146,197
167,18
167,188
196,193
167,70
167,142
167,71
270,71
201,131
165,154
167,252
119,100
146,82
82,149
96,9
199,149
199,5
260,149
260,199
146,43
108,93
43,28
28,62
170,43
43,219
28,43
163,264
71,203
64,71
53,32
174,256
56,146
146,226
53,12
102,241
56,12
114,141
114,236
155,241
114,97
241,146
146,12
146,241
12,173
114,20
115,51
167,89
160,167
146,184
167,291
256,167
167,251
102,167
87,139
193,167
12,167
167,13
270,89
167,79
270,79
294,248
55,251
167,241
101,269
82,178
294,230
230,71
294,178
82,77
82,15
9,291
214,93
43,87
87,137
43,264
43,201
43,170
43,33
43,157
93,173
43,141
34,170
34,33
33,43
33,170
170,257
33,257
33,134
155,130
196,53
71,178
55,294
244,98
53,125
53,8
174,226
46,283
155,234
155,99
234,99
147,64
56,101
12,244
244,153
101,244
56,167
101,209
206,146
12,149
53,128
8,12
8,241
174,11
12,49
8,266
12,56
56,241
53,114
114,210
225,236
114,173
114,89
225,89
241,53
241,173
114,281
225,281
114,290
241,155
241,89
114,218
225,218
114,12
12,102
279,197
114,146
12,20
240,51
12,51
51,115
51,86
51,191
146,291
240,256
51,38
12,10
39,111
12,267
167,160
174,167
146,174
101,146
102,56
193,70
149,294
146,121
263,279
142,149
85,167
167,136
167,256
167,244
97,130
101,167
167,80
270,104
23,274
270,105
270,38
270,293
74,294
177,242
90,167
121,13
224,152
270,18
146,23
131,251
269,251
55,278
101,55
269,97
55,97
12,17
168,167
167,92
167,269
256,1
226,279
7,189
180,269
8,107
178,294
294,117
82,295
8,295
294,57
294,71
24,230
82,291
82,100
211,146
146,149
161,96
161,9
96,94
45,9
94,44
96,44
186,226
161,254
44,94
223,148
223,254
148,254
199,141
195,35
258,150
43,135
63,93
93,163
163,43
163,93
103,93
43,15
258,43
93,264
93,259
43,144
43,234
43,59
43,112
93,34
93,170
28,97
163,128
103,65
170,134
149,170
149,33
53,202
8,188
53,71
71,98
71,25
253,189
71,256
71,160
256,25
256,32
256,250
160,244
25,244
25,275
25,64
206,250
244,250
275,250
53,206
178,98
246,25
8,117
8,291
53,97
256,226
174,279
56,120
71,250
46,267
46,22
8,283
147,189
146,175
146,275
244,146
275,146
146,97
244,56
275,56
146,101
101,202
56,193
12,128
101,206
56,164
167,101
244,167
102,12
101,8
101,207
8,207
8,2
101,41
8,271
207,235
207,12
53,266
53,291
53,271
101,53
12,294
53,126
53,49
101,85
53,225
114,266
114,106
225,210
225,173
53,181
241,8
8,118
241,279
149,155
149,279
155,202
114,155
114,279
225,155
225,279
241,174
241,233
114,174
114,233
241,288
241,181
114,102
225,102
149,102
253,155
114,18
225,204
225,12
279,226
114,208
241,208
284,221
114,206
146,114
146,225
27,250
155,146
56,141
12,141
12,146
12,290
241,290
12,288
12,265
114,70
225,70
12,57
174,241
240,146
240,58
51,146
146,130
115,123
51,123
146,34
115,256
115,240
146,256
51,265
51,155
12,155
101,256
101,191
146,191
51,128
206,155
12,111
12,11
174,41
170,241
167,280
146,217
167,125
167,184
174,146
146,49
174,160
256,124
160,124
167,124
167,137
167,217
146,188
167,34
146,288
167,226
146,263
146,222
280,279
279,40
142,167
121,149
142,194
102,193
193,164
193,146
12,269
84,167
149,167
146,250
146,160
256,71
64,97
97,71
23,242
23,270
242,71
38,270
270,193
101,241
241,189
193,242
156,291
90,291
23,11
167,76
23,167
146,133
156,270
90,270
156,167
23,18
248,226
270,136
177,245
177,226
167,255
270,80
101,121
201,71
131,71
8,235
146,239
239,137
239,184
101,278
146,278
146,165
269,278
269,153
55,153
101,280
269,13
55,13
54,182
255,167
167,276
12,276
244,251
146,37
146,232
7,155
226,172
172,3
229,3
277,3
253,3
224,3
278,3
153,3
205,3
152,3
128,286
3,286
7,204
7,25
25,211
25,294
180,55
37,89
8,82
294,8
117,8
178,295
143,71
57,71
178,71
107,100
117,178
82,200
284,267
60,198
60,82
119,149
100,149
146,77
211,82
60,125
82,113
82,202
178,77
178,78
78,138
42,138
42,288
42,58
42,125
9,96
186,266
186,297
37,254
226,186
226,254
186,254
9,91
44,9
9,276
9,253
9,132
4,183
